caso_id_canonico,tomo,n_lineas_bloque,apertura_rel,firma_lines_count,firma_end,pe_idx_baseline,pe_idx_d_validado,disp_cambio,posthoc_rejected,voting_pattern,n_jueces_firma,baseline_voting_pattern,baseline_n_votos_svoto,baseline_n_disidencias,n_votos_actual,n_disid_actual,n_votos_ampliado,n_nuevos_por_ampliado,n_ya_detectados_post_firma,n_votos_narrow_pre_firma,first_voto_narrow
329_p5,329,142,116,2,131,125,125,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p9,329,101,27,2,88,86,86,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p12,329,112,18,5,95,91,91,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,96
329_p15,329,148,121,2,136,130,130,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p19,329,35,6,2,22,19,19,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p20,329,311,269,5,286,278,278,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,288
329_p28,329,455,269,11,286,278,278,False,False,mixed,7,mixed,1,1,1,1,1,0,1,1,285
329_p40,329,267,100,3,255,250,250,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p47,329,119,63,3,78,73,73,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p49,329,113,102,2,112,108,108,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p53,329,8,1,0,,7,7,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p59,329,757,352,2,745,736,736,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p78,329,77,14,2,73,64,64,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p80,329,103,87,2,98,90,90,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p83,329,112,72,2,83,75,75,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p85,329,90,78,2,89,81,81,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p88,329,203,110,4,185,175,175,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,184
329_p94,329,914,227,25,403,393,393,False,False,mixed,7,mixed,3,2,3,2,4,0,4,1,402
329_p117,329,98,22,9,71,64,64,False,False,segun_su_voto,7,segun_su_voto,2,0,2,0,1,0,1,1,70
329_p120,329,54,18,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p123,329,457,422,6,436,431,431,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,437
329_p134,329,47,11,2,41,38,38,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p135,329,246,166,7,184,176,176,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,183
329_p142,329,185,160,2,180,169,169,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p147,329,56,13,6,39,32,32,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,37
329_p149,329,363,95,15,126,116,116,False,False,segun_su_voto,7,segun_su_voto,5,0,5,0,4,0,4,1,125
329_p158,329,151,136,2,150,146,146,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p163,329,91,80,2,89,83,83,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p165,329,72,61,2,71,64,64,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p167,329,121,105,2,116,108,108,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p171,329,149,132,3,144,135,135,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p175,329,91,80,2,90,83,83,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p177,329,172,156,2,171,159,159,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p182,329,81,16,6,35,30,30,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,34
329_p184,329,117,95,2,109,103,103,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p187,329,557,538,2,549,546,546,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p201,329,33,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p206,329,213,190,2,203,200,200,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p212,329,131,115,2,125,118,118,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p215,329,103,28,2,95,91,91,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p218,329,135,95,2,125,118,118,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p222,329,78,14,2,73,61,61,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p224,329,175,114,2,168,164,164,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p229,329,92,80,2,90,83,83,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p231,329,84,68,2,83,71,71,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p234,329,100,85,2,95,88,88,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p237,329,20,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p239,329,82,11,2,69,65,65,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p241,329,88,74,2,83,77,77,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p243,329,15,1,2,10,4,4,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p244,329,1975,1822,11,1880,1875,1875,False,False,mixed,7,mixed,1,0,1,0,1,0,1,0,1881
329_p292,329,180,150,4,161,157,157,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,162
329_p297,329,108,56,6,78,72,72,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,77
329_p300,329,139,113,3,128,122,122,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p304,329,217,195,2,208,203,203,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p309,329,183,30,7,41,37,37,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,46
329_p314,329,112,30,5,95,86,86,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,94
329_p317,329,63,11,2,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p318,329,201,,8,132,121,121,False,False,mixed,7,mixed,3,1,3,1,3,0,3,1,131
329_p324,329,13,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p326,329,116,52,6,87,83,83,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,88
329_p329,329,29,,3,18,14,14,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p330,329,183,42,7,55,51,51,False,False,disidencia,6,disidencia,0,1,0,1,1,0,1,0,56
329_p335,329,298,172,11,188,181,181,False,False,mixed,7,mixed,1,1,1,1,2,0,2,0,194
329_p342,329,236,125,9,140,134,134,False,False,disidencia,6,disidencia,0,1,0,1,1,0,1,0,142
329_p349,329,125,25,2,121,117,117,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,123
329_p353,329,165,107,5,159,154,154,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,160
329_p358,329,466,357,4,460,451,451,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p370,329,111,100,2,110,103,103,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p373,329,318,305,3,317,308,308,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p381,329,61,11,2,53,50,50,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p383,329,56,9,2,50,47,47,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p385,329,1820,424,37,669,661,661,False,False,mixed,7,mixed,2,2,2,2,3,0,3,1,668
329_p429,329,66,7,3,52,46,46,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p431,329,56,14,2,48,43,43,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p432,329,207,170,8,193,179,179,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,192
329_p437,329,124,55,8,108,105,,True,True,segun_su_voto,6,segun_su_voto,1,1,1,1,1,0,1,1,7
329_p440,329,169,68,5,126,116,116,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,127
329_p445,329,720,254,18,320,312,312,False,False,mixed,8,mixed,2,2,2,2,4,0,4,0,323
329_p463,329,306,215,5,234,229,229,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,235
329_p471,329,42,12,2,34,27,27,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p472,329,1,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p473,329,748,103,12,124,117,117,False,False,segun_su_voto,5,segun_su_voto,2,0,2,0,2,0,2,0,126
329_p491,329,53,11,3,30,24,24,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,32
329_p493,329,72,17,5,46,42,42,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,47
329_p495,329,177,135,5,155,149,149,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,156
329_p500,329,98,24,5,78,74,74,False,False,unanime,7,unanime,1,0,1,0,1,0,1,0,79
329_p502,329,300,179,5,202,188,188,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,203
329_p510,329,94,,5,39,34,34,False,False,segun_su_voto,7,segun_su_voto,2,0,2,0,2,0,2,0,44
329_p513,329,181,148,6,170,161,161,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,169
329_p518,329,295,255,4,272,264,264,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,273
329_p526,329,144,105,6,122,115,115,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,127
329_p530,329,247,17,11,42,32,32,False,False,segun_su_voto,7,segun_su_voto,6,0,6,0,5,0,5,1,41
329_p537,329,213,40,7,89,72,72,False,False,disidencia,6,disidencia,0,1,0,1,1,0,1,0,94
329_p542,329,52,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p545,329,112,13,3,109,100,100,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p548,329,108,14,4,63,46,46,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,62
329_p551,329,7,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p553,329,261,110,9,209,195,195,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,207
329_p560,329,204,189,3,200,195,195,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
329_p565,329,81,66,2,76,69,69,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p568,329,95,82,3,94,85,85,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p570,329,90,74,3,89,77,77,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p573,329,69,25,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p576,329,294,194,4,293,288,288,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p584,329,464,195,4,437,431,431,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,442
329_p595,329,889,478,2,872,865,865,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p617,329,89,71,2,84,77,77,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
